Run,Step,Catalyst_ID,Position_X,Position_Y,Manhattan_Distance
1,8230,0,7,1,8
1,8240,0,7,1,8
1,8250,0,7,1,8
1,8260,0,7,1,8
1,8270,0,7,1,8
1,8280,0,7,1,8
1,8290,0,7,1,8
1,8300,0,7,1,8
1,8310,0,7,1,8
1,8320,0,7,1,8
1,8330,0,7,1,8
1,8340,0,7,1,8
1,8350,0,7,1,8
1,8360,0,7,1,8
1,8370,0,7,1,8
1,8380,0,7,1,8
1,8390,0,6,1,9
1,8400,0,6,1,9
1,8410,0,6,1,9
1,8420,0,6,1,9
1,8430,0,6,1,9
1,8440,0,6,1,9
1,8450,0,6,1,9
1,8460,0,6,1,9
1,8470,0,6,0,10
1,8480,0,6,0,10
1,8490,0,6,0,10
1,8500,0,6,0,10
1,8510,0,6,0,10
1,8520,0,6,0,10
1,8530,0,6,0,10
1,8540,0,6,0,10
1,8550,0,6,0,10
1,8560,0,6,0,10
1,8570,0,6,0,10
1,8580,0,6,0,10
1,8590,0,6,0,10
1,8600,0,6,0,10
1,8610,0,6,0,10
1,8620,0,6,0,10
1,8630,0,6,0,10
1,8640,0,6,0,10
1,8650,0,6,0,10
1,8660,0,6,0,10
1,8670,0,6,0,10
1,8680,0,6,0,10
1,8690,0,6,0,10
1,8700,0,6,0,10
1,8710,0,6,0,10
1,8720,0,5,0,11
1,8730,0,5,0,11
1,8740,0,5,0,11
1,8750,0,5,0,11
1,8760,0,5,0,11
1,8770,0,5,0,11
1,8780,0,5,0,11
1,8790,0,5,0,11
1,8800,0,5,0,11
1,8810,0,5,0,11
1,8820,0,5,0,11
1,8830,0,5,0,11
1,8840,0,5,0,11
1,8850,0,5,0,11
1,8860,0,5,0,11
1,8870,0,5,0,11
1,8880,0,5,0,11
1,8890,0,5,0,11
1,8900,0,5,0,11
1,8910,0,5,0,11
1,8920,0,5,0,11
1,8930,0,5,0,11
1,8940,0,5,0,11
1,8950,0,5,0,11
1,8960,0,5,0,11
1,8970,0,5,0,11
1,8980,0,5,0,11
1,8990,0,5,0,11
1,9000,0,5,0,11
1,9010,0,5,0,11
1,9020,0,5,0,11
1,9030,0,5,0,11
1,9040,0,5,0,11
1,9050,0,5,0,11
1,9060,0,5,0,11
1,9070,0,5,0,11
1,9080,0,5,0,11
1,9090,0,5,0,11
1,9100,0,5,0,11
1,9110,0,5,0,11
1,9120,0,5,0,11
1,9130,0,5,0,11
1,9140,0,5,0,11
1,9150,0,5,0,11
1,9160,0,5,0,11
1,9170,0,5,0,11
1,9180,0,5,0,11
1,9190,0,5,0,11
1,9200,0,5,0,11
1,9210,0,5,0,11
1,9220,0,4,0,12
1,9230,0,5,0,11
1,9240,0,5,0,11
1,9250,0,5,0,11
1,9260,0,5,0,11
1,9270,0,5,0,11
1,9280,0,5,0,11
1,9290,0,5,0,11
1,9300,0,5,0,11
1,9310,0,5,0,11
1,9320,0,5,0,11
1,9330,0,5,0,11
1,9340,0,5,0,11
1,9350,0,5,0,11
1,9360,0,5,0,11
1,9370,0,5,0,11
1,9380,0,5,0,11
1,9390,0,5,0,11
1,9400,0,5,0,11
1,9410,0,5,0,11
1,9420,0,5,0,11
1,9430,0,5,0,11
1,9440,0,5,0,11
1,9450,0,5,0,11
1,9460,0,5,0,11
1,9470,0,5,0,11
1,9480,0,5,0,11
1,9490,0,5,0,11
1,9500,0,5,0,11
1,9510,0,5,0,11
1,9520,0,5,0,11
1,9530,0,5,0,11
1,9540,0,5,0,11
1,9550,0,5,0,11
1,9560,0,5,0,11
1,9570,0,5,0,11
1,9580,0,5,0,11
1,9590,0,5,0,11
1,9600,0,5,1,10
1,9610,0,5,1,10
1,9620,0,5,1,10
1,9630,0,5,1,10
1,9640,0,5,1,10
1,9650,0,5,1,10
1,9660,0,5,1,10
1,9670,0,5,1,10
1,9680,0,5,1,10
1,9690,0,5,1,10
1,9700,0,5,1,10
1,9710,0,5,1,10
1,9720,0,5,1,10
1,9730,0,5,1,10
1,9740,0,5,1,10
1,9750,0,5,1,10
1,9760,0,5,1,10
1,9770,0,5,1,10
1,9780,0,6,1,9
1,9790,0,6,1,9
1,9800,0,6,1,9
1,9810,0,6,1,9
1,9820,0,6,1,9
1,9830,0,6,1,9
1,9840,0,6,1,9
1,9850,0,6,1,9
1,9860,0,6,1,9
1,9870,0,6,1,9
1,9880,0,6,1,9
1,9890,0,6,1,9
1,9900,0,6,1,9
1,9910,0,6,1,9
1,9920,0,6,1,9
1,9930,0,6,1,9
1,9940,0,6,0,10
1,9950,0,6,0,10
1,9960,0,6,0,10
1,9970,0,6,0,10
1,9980,0,6,0,10
1,9990,0,6,0,10
2,0,0,6,0,10
2,10,0,6,0,10
2,20,0,6,0,10
2,30,0,6,0,10
2,40,0,6,0,10
2,50,0,6,0,10
2,60,0,6,0,10
2,70,0,6,0,10
2,80,0,6,0,10
2,90,0,6,0,10
2,100,0,6,0,10
2,110,0,6,0,10
2,120,0,6,0,10
2,130,0,6,0,10
2,140,0,6,0,10
2,150,0,6,0,10
2,160,0,6,0,10
2,170,0,6,0,10
2,180,0,6,0,10
2,190,0,6,0,10
2,200,0,6,0,10
2,210,0,5,0,11
2,220,0,5,0,11
2,230,0,5,0,11
2,240,0,5,0,11
2,250,0,5,0,11
2,260,0,5,0,11
2,270,0,5,0,11
2,280,0,5,0,11
2,290,0,5,0,11
2,300,0,5,0,11
2,310,0,5,0,11
2,320,0,5,0,11
2,330,0,5,0,11
2,340,0,5,0,11
2,350,0,5,0,11
2,360,0,5,0,11
2,370,0,5,0,11
2,380,0,5,0,11
2,390,0,5,0,11
2,400,0,5,0,11
2,410,0,5,0,11
